alert_id,transaction_id,risk_score,risk_level,reason,status,created_at,actual_label,assigned_to,reviewed_at,resolution,comments,resolved_at,resolution_time_minutes
072b4764,1623,0.9634490300531482,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
71a32dec,1007,0.8545932893237627,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
8554cf28,4969,0.8675975046878399,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
2e64f6c3,5536,0.954933663664932,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
a6894b99,5342,0.8935993157810798,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
24150a0b,1305,0.7998882355969645,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
a5375e2c,7898,0.8627890323058717,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
55e251dd,5707,0.8952647581119166,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
573a9286,5769,0.8182229730741218,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
0edf21d9,9073,0.6918745688843784,High,"Location Mismatch, High Transaction Velocity, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
c5f1d442,2581,0.7767155383947738,High,Low Device Trust,Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
c8de34fa,4049,0.8093193627232778,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
ec7a9bd5,2630,0.991485649397706,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
a7aaf75c,8731,0.6008176813365875,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_A,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
eba1f979,7735,0.7771119635643775,High,Low Device Trust,Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
8bd7a3cf,4517,0.7535197417657762,High,Low Device Trust,Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
adaa0765,9973,0.8376965900572539,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
8187a007,1555,0.8395081604713184,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
9365dba6,3922,0.7878442737264982,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
59cce837,4303,0.823132767701404,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
66edfb12,1548,0.8158692630633839,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
4d558d1b,9553,0.9906806638613224,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
995539ef,3206,0.8359348584955256,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
5f05023e,522,0.635502432357943,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_A,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
037c6326,645,0.9516138979566868,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
